incident_id,timestamp,severity,category,status,description
1075,2024-01-13 06:00:00.000000,Medium,Phishing,Resolved,Incident 75 description
1076,2024-07-05 18:00:00.000000,Medium,Misconfiguration,Open,Incident 76 description
1077,2024-03-26 01:00:00.000000,Medium,DDoS,Open,Incident 77 description
1078,2024-06-18 12:00:00.000000,High,Malware,Open,Incident 78 description
1079,2024-03-02 20:00:00.000000,Medium,DDoS,Resolved,Incident 79 description
1080,2024-05-13 11:00:00.000000,Low,Malware,Closed,Incident 80 description
1081,2024-02-13 19:00:00.000000,Medium,DDoS,In Progress,Incident 81 description
1082,2024-10-12 10:00:00.000000,Low,Phishing,Closed,Incident 82 description
1083,2024-05-07 22:00:00.000000,Medium,Malware,Open,Incident 83 description
1084,2024-08-18 00:00:00.000000,Medium,Phishing,In Progress,Incident 84 description
1085,2024-10-09 19:00:00.000000,Medium,Phishing,Closed,Incident 85 description
1086,2024-08-20 02:00:00.000000,Medium,Phishing,Closed,Incident 86 description
1087,2024-07-16 07:00:00.000000,Low,Phishing,Closed,Incident 87 description
1088,2024-05-16 04:00:00.000000,High,Phishing,Resolved,Incident 88 description
1089,2024-08-12 18:00:00.000000,Medium,Phishing,Resolved,Incident 89 description
1090,2024-08-21 11:00:00.000000,Medium,Misconfiguration,Resolved,Incident 90 description
1091,2024-05-31 14:00:00.000000,Low,Phishing,Closed,Incident 91 description
1092,2024-06-08 23:00:00.000000,Critical,Phishing,Resolved,Incident 92 description
1093,2024-08-20 19:00:00.000000,Low,Unauthorized Access,In Progress,Incident 93 description
1094,2024-04-22 16:00:00.000000,Medium,Unauthorized Access,Resolved,Incident 94 description
1095,2024-02-21 11:00:00.000000,High,Phishing,In Progress,Incident 95 description
1096,2024-10-21 01:00:00.000000,Low,Malware,Closed,Incident 96 description
1097,2024-04-22 04:00:00.000000,Low,DDoS,Closed,Incident 97 description
1098,2024-04-22 23:00:00.000000,Low,Phishing,Resolved,Incident 98 description
1099,2024-03-21 16:00:00.000000,Medium,Misconfiguration,Open,Incident 99 description
1100,2025-10-16 09:23:45.891480,High,Phishing,Open,Recent Phishing Attempt 0
1101,2025-10-25 07:23:45.891520,High,Phishing,In Progress,Recent Phishing Attempt 1
1102,2025-09-30 18:23:45.891532,High,Phishing,In Progress,Recent Phishing Attempt 2
1103,2025-09-30 01:23:45.891543,Medium,Phishing,Open,Recent Phishing Attempt 3
1104,2025-10-07 06:23:45.891554,Medium,Phishing,In Progress,Recent Phishing Attempt 4
1105,2025-10-02 03:23:45.891561,High,Phishing,In Progress,Recent Phishing Attempt 5
1106,2025-10-02 18:23:45.891568,High,Phishing,In Progress,Recent Phishing Attempt 6
1107,2025-10-22 10:23:45.891575,High,Phishing,Open,Recent Phishing Attempt 7
1108,2025-10-16 00:23:45.891584,Medium,Phishing,Open,Recent Phishing Attempt 8
1109,2025-10-10 17:23:45.891591,Medium,Phishing,Open,Recent Phishing Attempt 9
1110,2025-10-01 05:23:45.891597,High,Phishing,Open,Recent Phishing Attempt 10
1111,2025-09-30 04:23:45.891604,High,Phishing,Open,Recent Phishing Attempt 11
1112,2025-10-22 12:23:45.891611,High,Phishing,In Progress,Recent Phishing Attempt 12
1113,2025-10-26 00:23:45.891618,High,Phishing,Open,Recent Phishing Attempt 13
1114,2025-09-30 20:23:45.891624,High,Phishing,Open,Recent Phishing Attempt 14
